Name,Latitude,Longitude
London Heathrow Airport,51.4706,-0.461941
Charles de Gaulle International Airport,49.012798,2.55
Amsterdam Airport Schiphol,52.308601,4.76389
Frankfurt am Main Airport,50.033333,8.570556
Adolfo Suárez de Madrid-Barajas Airport ,40.471926,-3.56264
Barcelona International Airport,41.2971,2.07846
Istanbul Airport,41.275278,28.751944
Sheremetyevo International Airport,55.972599,37.4146
Munich Airport,48.353802,11.7861
London Gatwick Airport,51.148102,-0.190278
Leonard da Vinci Fiumicino Airport,41.8002778,12.2388889
Dublin Airport,53.421299,-6.27007
Paris-Orly Airport,48.7233333,2.3794444
Vienna International Airport,48.11029816,16.56970024
Zurich Airport,47.464699,8.54917
Humberto Delgado Airport,38.7813,-9.13592
Copenhagen Kastrup Airport,55.61790085,12.65600014
Palma De Mallorca Airport,39.55170059,2.738810062
Manchester Airport,53.35369873,-2.274950027
Malpensa International Airport,45.6306,8.72811
